label,theme
4,Human Development Index
2,Production workers average for year of Leather and hide tanning and finishing
2,average price for honey per pound
2,Household income
2,Total value of shipments and receipts for services of Cut and sew apparel manufacturing
2,Number of paid employees
2,Direct expenditure of governments
1,difference in number of people of males 15 years and over
2,Production workers average for year of Iron and steel mills and ferroalloy manufacturing
0,Average hours per day by men spent on Volunteering (organizational and civic activities)
2,unemployment rate
2,Agriculture exports
2,Corporate income tax of governments
2,Agriculture exports
2,Estimated annual sales for total (excl. gasoline stations)
1,number of people of per Walmart store
0,Family households (families)
0,Nonfamily households
4,diabetes rate
1,difference in population density of All Race
3,number of earthquake
3,annual average precipitation
2,Estimated annual sales for Warehouse clubs & supercenters
3,number of fire points
2,Elementary-secondary revenue from property taxes
2,Production workers annual wages of Beverage manufacturing
0,Average year built
1,Population density of per Walmart store
2,Elementary-secondary revenue
0,Average year built
0,Average square footage of houses
2,Liquor stores revenue of governments
4,number of cell phones per 100 person
2,Annual payroll
0,Average percent of time engaged in Attending class
2,Elementary-secondary revenue from compensatory programs
2,Elementary-secondary revenue from school lunch charges
0,Average percent of time engaged in Physical care for household children
0,Total households
2,Estimated annual sales for Miscellaneous store retailer
1,Percent of population of women that were screened for breast and cervical cancer by jurisdiction
3,annual average temperature
2,Selective sales of governments
2,Estimated annual sales for total (excl. motor vehicle & parts & gasoline stations)
1,number of people of people with a bachelor's degree or higher
2,Estimated annual sales for Auto & other motor veh. Dealers
0,"Average percent of time engaged in by womenOrganizational, civic, and religious activities"
2,Insurance trust expenditure of governments
2,Median household income
0,Married-couple family
0,Household income
2,Production workers average for year of Leather and allied product manufacturing
0,"Households with male householder, no wife present, family"
2,Elementary-secondary expenditure
2,Elementary-secondary revenue from general formula assistance
2,Elementary-secondary expenditure
2,Elementary-secondary revenue from special education
2,Estimated annual sales for Home furnishings stores
2,"Total capital expenditures of Coating, engraving, heat treating, and allied activities"
2,"Sales, receipts, or value of shipments of firms"
2,"percent of houses with annual income of $50,000 and less"
2,Estimated annual sales for Grocery stores
4, Percent of planted soybeans by acreage
2,Estimated annual sales for Food services & drinking places
2,GDP (nominal or ppp) per capita
4,CO2 emission (per capita)
0,Average family size
2,Liquor stores revenue of governments
2,Total cost of materials of Beverage manufacturing
0,Average hours per day by women spent on Educational activities
2,Exports value of firms
2,Number of firms
2,price of land
0,"Households with female householder, no husband present, family"
2,Elementary-secondary revenue from compensatory programs
3,number of fire points
2,Current spending of elementary-secondary expenditure
3,annual average precipitation
2,federal government expenditure (per capita)
2,Elementary-secondary expenditure
0,Households with one or more people under 18 years
2,Capital outlay of elementary-secondary expenditure
2,Estimated annual sales for Grocery stores
2,Elementary-secondary revenue from local government
2,Estimated annual sales for Miscellaneous store retailer
2,Direct expenditure of governments
4,infant mortality rate
1,difference in population density of Catholic
2,Estimated annual sales for Family clothing stores
1,difference in population density of  never married
0,Family households (families)
2,Current spending of elementary-secondary expenditure
2,Estimated annual sales for Food & beverage stores
2,Exports value of firms
2,Number of employees of Basic chemical manufacturing
4,homicide rate
2,Elementary-secondary revenue
2,Intergovernmental revenue of governments
4,NBA player origins (per capita)
4,CO2 emission (per capita)
2,Annual payroll
0,Married-couple family
4,suicide rate
3,number of fire points
2,sale amounts of beer
2,federal government expenditure (per capita)
4,social vulnerability index
0,Average monthly housing cost
2,"percent of houses with annual income of $300,000 and over"
0,Average monthly housing cost
4,food insecurity rate
0,Average percent of time engaged in by menRelaxing and leisure
0,Average percent of time engaged in by womenWatching TV
0,Household income
0,Average monthly housing cost as percentage of income
0,Total households
2,Total capital expenditures of Sawmills and wood preservation
2,Number of employees of Textile mills
2,Elementary-secondary revenue from general formula assistance
4,fertility rate
2,sale amounts of beer
1,Percent change of people enrolled in College or graduate school
0,Total households
4,Human Development Index
3,annual average precipitation
2,"Sales, receipts, or value of shipments of firms"
0,Household income
4,number of pedestrian accidents
2,Direct expenditure of governments
2,Current operation of governments
2,Elementary-secondary expenditure
2,Utility expenditure of governments
2,Current spending of elementary-secondary expenditure
2,Number of paid employees
1,number of people of people enrolled in Elementary school (grades 1-8)
2,"Sales, receipts, or value of shipments of firms"
2,Elementary-secondary revenue from transportation programs
1,Population density of people who are confirm to be infected by 2019-Nov Coronavirus
0,Average year built
0,Family households (families)
0,Average household size
2,Number of employees of Semiconductor and other electronic component manufacturing
2,Annual payroll of Primary metal manufacturing
2,Utility expenditure of governments
1,Percent of population of Hispanic or Latino Origin
2,Production workers annual hours of Alumina and aluminum production and processing
1,difference in number of people of dentist
2,Total value of shipments and receipts for services of Apparel knitting mills
2,Exports value of firms
2,Number of paid employees
4,difference in race diversity
2,"Estimated annual sales for Beer, wine & liquor stores"
3,annual average precipitation
4,food insecurity rate
0,Average monthly housing cost as percentage of income
2,Direct expenditure of governments
0,Average percent of time engaged in Medical and care services
2,Estimated annual sales for Food services & drinking places
2,"Estimated annual sales for Beer, wine & liquor stores"
2,Production workers annual hours of Transportation equipment manufacturing
1,number of people of people enrolled in Elementary school (grades 1-8)
2,Estimated annual sales for Food & beverage stores
0,Average year built
2,Annual payroll
1,difference in population density of People whose native language is Russian
3,number of earthquake
3,number of fire points
2,Elementary-secondary revenue from other state aid
2,gross domestic income (nominal or ppp) per capita
2,Total capital expenditures of Petroleum and coal products manufacturing
0,Age of householder
4,renter occupied
3,annual average precipitation
0,Age of householder
1,difference in number of people of people enrolled in Kindergarten
0,Married-couple family
2,Elementary-secondary revenue from other state aid
4,difference in race diversity
0,Average percent of time engaged in by menHelping nonhousehold adults
1,Population density of widowed
2,Exports value of firms
1,difference in number of people of Hispanic or Latino Origin
2,Estimated annual sales for Building material & garden eq. & supplies dealers
2,Number of paid employees
2,gross domestic income (nominal or ppp)
0,Household income
2,Total expenditure of governments
0,Average hours per day by women spent on Household services
2,Total value of shipments and receipts for services of Clay product and refractory manufacturing
2,gross domestic income (nominal or ppp) per capita
1,"number of people of people enrolled in Nursery school, people enrolled in preschool"
0,Family households (families)
2,Number of firms
3,number of fire points
0,Total households
0,Married-couple family
2,Annual payroll
0,Average poverty level for household
2,Estimated annual sales for Furniture stores
2,Elementary-secondary expenditure
2,Intergovernmental expenditure of governments
0,Households with householder living alone
0,Average number of bedrooms of houses
0,Nonfamily households
2,Production workers annual wages of Sugar and confectionery product manufacturing
0,Average hours per day by women spent on Household and personal messages
2,Estimated annual sales for Building material & garden eq. & supplies dealers
2,Annual payroll
0,Average year built
2,Estimated annual sales for Elect. shopping & m/o houses
0,Age of householder
2,Taxes of governments
2,Estimated annual sales for Motor vehicle & parts Dealers
2,Estimated annual sales for Shoe stores
2,Elementary-secondary revenue from transportation programs
3,number of fire points
2,price of land
1,Percent change of who believe climate change
1,difference in population density of people with elementary occupation
2,"Production workers annual wages of Other transportation equipment manufacturing,Furniture and related product manufacturing"
3,annual average temperature
2,General sales of governments
2,Number of paid employees
2,Estimated annual sales for Shoe stores
4,number of species
4,homicide rate
1,Population density of Jewish
4,number of species
2,Production workers annual wages of Plastics product manufacturing
2,Estimated annual sales for Other general merch. Stores
0,Average monthly housing cost as percentage of income
0,Average monthly housing cost
1,difference in number of people of separated
2,percent of households above $200k
0,"Average percent of time engaged in by menStoring interior household items, including food"
2,Production workers annual hours of Apparel knitting mills
3,annual average temperature
2,"NSF funding for ""Catalogue"""
2,Number of paid employees
0,Average year built
2,Elementary-secondary expenditure
2,GDP (nominal or ppp) per capita
0,Average hours per day by women spent on Talking with and listening to household children
2,Exports value of firms
0,Average household size
4,average age
0,Average family size
0,Households with one or more people 65 years and over
3,annual average temperature
2,GDP (nominal or ppp) per capita
0,Average square footage of houses
0,Average percent of time engaged in by womenSocial service and care activities 
1,number of people of people who are confirm to be infected by 2019-Nov Coronavirus
2,Estimated annual sales for Clothing & clothing accessories stores
3,number of fire points
2,Estimated annual sales for Womens clothing stores
2,Estimated annual sales for Shoe stores
2,Estimated annual sales for Family clothing stores
0,Average year built
0,Average hours per day by women spent on activities
3,annual average precipitation
2,Debt at end of fiscal year of governments
2,"Sales, receipts, or value of shipments of firms"
4,rate of male
2,import and export statistics
2,Number of employees of Household appliance manufacturing
0,"Households with male householder, no wife present, family"
2,Annual payroll
0,Age of householder
2,Elementary-secondary revenue from state sources
4,number of patent per capita
2,Annual payroll of Animal food manufacturing
2,"NSF funding for ""Catalogue"""
3,number of earthquake
3,annual average temperature
2,Assistance and subsidies of governments
4,homicide rate
0,"Average hours per day by men spent on Organizational, civic, and religious activities"
2,Elementary-secondary revenue from state sources
0,Household income
3,number of earthquake
0,Average percent of time engaged in by womenInterior cleaning
0,Age of householder
2,Production workers annual hours of Manufacturing and reproducing magnetic and optical media
0,Average poverty level for household
0,Nonfamily households
0,Average monthly housing cost as percentage of income
4,measles incidence
2,Elementary-secondary revenue from local sources
0,"Households with female householder, no husband present, family"
2,Number of paid employees
2,Current charge of governments
0,Average percent of time engaged in by menTravel related to leisure and sports
1,number of people of people enrolled in High school (grades 9-12)
2,Elementary-secondary revenue from general formula assistance
0,Average number of bedrooms of houses
2,"Production workers annual hours of Hardware manufacturing,Spring and wire product manufacturing"
2,median rent price
0,Family households with own children of the householder under 18 years
3,annual average precipitation
2,Elementary-secondary revenue from federal sources
0,Average hours per day spent on Personal activities
0,Average household size
2,Current spending of elementary-secondary expenditure
1,Percent of population of who believe climate change
1,Percent change of people living in slums
2,Total capital expenditures of Audio and video equipment manufacturing
4,divorce rate
2,median rent price
4,social vulnerability index
1,Percent change of who believe climate change
2,Capital outlay of governments
0,Households with householder living alone
2,Estimated annual sales for Warehouse clubs & supercenters
2,Estimated annual sales for Furniture stores
2,"Sales, receipts, or value of shipments of firms"
2,Number of firms
0,Households with one or more people 65 years and over
2,Estimated annual sales for acc. & tire store
2,Estimated annual sales for Auto & other motor veh. Dealers
2,Estimated annual sales for All oth. gen. merch. Stores
2,poverty rate
3,annual average temperature
2,Estimated annual sales for acc. & tire store
4,life expectancy
2,"NSF funding for ""Catalogue"""
0,Average percent of time engaged in by womenAttending class
3,annual average precipitation
4,fertility rate
2,Annual payroll
4,crime rate
4,number of multi-racial households
0,Average hours per day spent on Animals and pets
2,Elementary-secondary expenditure
3,number of fire points
0,Average monthly housing cost
3,annual average precipitation
2,Estimated annual sales for Elect. shopping & m/o houses
2,Number of employees of Other textile product mills
2,Total revenue of governments
0,Total households
0,Age of householder
2,Number of firms
1,Percent change of frauds
1,difference in population density of males 15 years and over
0,Average poverty level for household
0,Households with one or more people under 18 years
2,Number of employees of Footwear manufacturing
2,Estimated annual sales for total (excl. motor vehicle & parts & gasoline stations)
3,number of earthquake
0,"Average hours per day by men spent on Taking class for degree, certificate, or licensure"
3,number of earthquake
3,number of earthquake
2,Elementary-secondary revenue from parent government contributions
0,Households with one or more people under 18 years
2,Estimated annual sales for Food services & drinking places
