label,theme

2,Elementary-secondary revenue from special education

2,Sales, receipts, or value of shipments of firms

1,difference in number of people of People whose native language is Russian

2,Exports value of firms

3,area of Estuarine Forested Wetlands (km2)

1,number of people of Under age 18

1,difference in population density of who believe climate change

1,difference in number of people of retailers of personal computer

0,Family households (families)

0,Average number of bedrooms of houses

0,Production workers annual wages of Other chemical product and preparation manufacturing

3,Soil erosion

2,Estimated annual sales for General merchandise stores

2,Remittances

3,Used Oil

1,difference in number of people of Hispanic or Latino Origin

0,divorce rate

2,Annual payroll

0,helicobacter pylori rate

2,Estimated annual sales for Furniture stores

2,Elementary-secondary revenue from local government

0,flu incidence

3,area of Evergreen Forest (km2)

2,Sales and Gross Receipts Taxes of governments

2,For Sale Inventory and Months�� Supply

2,Elementary-secondary revenue from school lunch charges

0,Average square footage of houses

0,Average hours per day spent on Vehicles

0,Households with one or more people under 18 years

1,number of people of people with a bachelor's degree or higher

2,unemployment rate

0,number of schools

0,Production workers annual hours of Basic chemical manufacturing

0,number of fixed residential broadband providers

2,Long Term Unemployment Rate

0,Production workers annual wages of Iron and steel mills and ferroalloy manufacturing

0, Percent of planted soybeans by acreage

0,Total households

2,Intergovernmental expenditure of governments

2,GDP per capita

1,Percent change of separated

0,Average hours per day spent on Leisure and sports

1,Percent of population of per Walmart store

0,Average family size

2,Estimated annual sales for Grocery stores

2,economic growth rate

3,area of Palustrine Scrub/Shrub (km2)

2,Elementary-secondary revenue from property taxes

0,Production workers annual wages of Transportation equipment manufacturing

2,Capital outlay of governments

0,people living in poverty areas

2,Current operation of governments

2,the number of new single-family houses sold and for sale

1,difference in number of people of Catholic

0,Average monthly housing cost

2,Interest Rate

0,Nonfamily households

0,Production workers annual wages of Basic chemical manufacturing

2,Labor Force Participation Rate

0,Age of householder

2,Estimated annual sales for total (excl. motor vehicle & parts)

0,number of pedestrian accidents

3,Acid Rain

2,Corporate income tax of governments

2,Direct expenditure of governments

2,Salaries and wages of governments

3,number of earthquake

1,Population density of  people living in poverty areas

0,crime rate

2,Households Debt to Income

1,Percent of population of people enrolled in Elementary school (grades 1-8)

2,GNP

0,Total capital expenditures of Navigational, measuring, electromedical, and control instruments manufacturing

0,Households with one or more people 65 years and over

2,Elementary-secondary revenue from vocational programs

0,Average monthly housing cost as percentage of income

2,Utility revenue of governments

0,Number of employees of Fruit and vegetable preserving and specialty food manufacturing

1,number of people of who believe climate change

2,Estimated annual sales for Furniture & home furn. Stores

2,Elementary-secondary revenue

2,Elementary-secondary revenue from parent government contributions

3,Cirsium arvense

0,food insecurity rate

1,difference in population density of widowed

2,Capital outlay of elementary-secondary expenditure

2,Number of paid employees

2,sales of merchant wholesalers

2,Estimated annual sales for Warehouse clubs & supercenters

0,Family households with own children of the householder under 18 years

2,Assistance and subsidies of governments

0,mortality associated with arterial hypertension

3,grizzly bear mortality

1,Percent change of people with elementary occupation

0,Total capital expenditures of Fruit and vegetable preserving and specialty food manufacturing

3,area of Developed, High Intensity (km2)

0,Production workers average for year of Petroleum and coal products manufacturing

2,Number of firms

2,Business Applications

0,Total cost of materials of Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing

1,Population density of people who are alumni of OSU

1,Percent of population of death among children under 5 due to pediatric cancer

0,percent of farmland

3,phragmites australis

2,Elementary-secondary revenue from other state aid

3,PM10

2,Other taxes of governments

2,Elementary-secondary revenue from local sources

2,Current Account to GDP

0,difference in race diversity

3,Soil moisture and temperature

2,Estimated annual sales for New car dealers

2,Employment Rate

1,Percent change of people whose permanent teeth have been removed because of tooth decay or gum disease

0,Households with householder living alone

2,Current spending of elementary-secondary expenditure

2,Intergovernmental revenue of governments

1,difference in number of people of people who are alumni of OSU

2,sale amounts of beer

2,License taxes of governments

2,NSF funding for Catalogue

2,Agriculture exports

2,accommodation revenue

1,Percent change of  people living in poverty areas

0,Average hours per day by women spent on Travel related to purchasing goods and services

2,Total revenue of governments

0,Total capital expenditures of Forging and stamping,Cutlery and handtool manufacturing

1,Percent of population of retailers of personal computer

0,Households with male householder, no wife present, family

2,Non Farm Payrolls

2,General expenditure of governments

0,Average household size

0,Average hours per day spent on Playing with household children, not sports

2,Producer Prices

1,Percent of population of  never married

0,Total cost of materials of Coating, engraving, heat treating, and allied activities

1,Population density of people working more than 49 hours per week

0,measles incidence

0,Average hours per day by men spent on Administrative and support activities

2,Stock Market

2,Interest on general debt of governments

2,Wages

2,Wages in Manufacturing

1,number of people of divorced

2,GDP from Public Administration

1,Percent change of black or African American

3,zinc, oxygen, and pH in seawater

0,Production workers annual wages of Household and institutional furniture and kitchen cabinet manufacturing

2,Estimated annual sales for Miscellaneous store retailer

0,percentage of respondents who did not provide a workplace address at Area unit level

2,Advance Estimates of U.S. Retail and Food Services

1,Population density of All Race

2,Estimated annual sales for Building mat. & sup. dealers

0,diabetes rate

1,difference in population density of  people living in poverty areas

3,PM2.5

0,Total value of shipments and receipts for services of Alumina and aluminum production and processing

0,energy consumption (per capita)

2,Exports of goods

3,Hazardous Air Pollutants

2,Private Sector Credit

1,Population density of people living in slums

0,Production workers annual wages of Beverage and tobacco product manufacturing

0,Average hours per day spent on Household services

1,difference in population density of American Indian and Alaska Native

3,area of Palustrine Aquatic Bed (km2)

3,Polychlorinated Biphenyls (PCBs)

2,Estimated annual sales for Clothing & clothing accessories stores

3,Radiation Effects

0,percent of forest area

1,Population density of frauds

0,social vulnerability index

0,number of libraries

0,availability of safe drinking water

0,Average percent of time engaged in by menAnimals and pets

2,Consumer Spending

0,Average percent of time engaged in by menHealth-related self care

2,Price of crude oil

3,Carbon Monoxide Poisoning

0,fertility rate

3,area of Pasture/Hay (km2)

2,administrative and support and waste management and remediation services revenue

3,Lead (Pb)

2,Manufacturing and International Trade

1,difference in number of people of people enrolled in College or graduate school

2,Estimated annual sales for acc. & tire store

3,area of Dwarf Scrub (km2)

2,Elementary-secondary revenue from general formula assistance

0,Average hours per day by women spent on Animals and pets

3,Radon Effects

0,Total capital expenditures of Paper manufacturing

2,Gross National Product (GNP)

2,Debt at end of fiscal year of governments

0,Married-couple family

3,Sea-Floor Sediment

1,number of people of people working more than 49 hours per week

1,Percent of population of people enrolled in Kindergarten

3,Wood Burning Stoves and Appliances

0,Human Development Index

2,Estimated annual sales for Gasoline stations

0,number of patent

1,Population density of above age 65

0,Production workers annual hours of Leather and hide tanning and finishing

0,Total value of shipments and receipts for services of Cut and sew apparel manufacturing

3,Wood Burning Appliances

2,Elementary-secondary revenue from state sources

2,Estimated annual sales for All oth. gen. merch. Stores

0,Average hours per day spent on Household and personal e-mail and messages

2,Estimated annual sales for Health & personal care stores

0,Production workers average for year of Apparel accessories and other apparel manufacturing

0,Average percent of time engaged in by menPhysical care for household adults

0,Total value of shipments and receipts for services of Computer and peripheral equipment manufacturing

0,number of species

2,Individual income tax of governments

0,Average year built

2,Estimated annual sales for Womens clothing stores

0,Average hours per day by men spent on Caring for and helping household children

2,License Taxes of governments

0,NBA player origins (per capita)

2,Imports & Exports by Related-Parties

0,Average percent of time engaged in Storing interior household items, including food

0,Average percent of time engaged in Volunteering (organizational and civic activities)

2,monthly estimates of the total dollar value of construction work

0,number of patent per capita

0,Production workers annual hours of Other nonmetallic mineral product manufacturing

1,difference in number of people of Jewish

1,difference in population density of divorced

1,Percent of population of Muslim

0,Households with female householder, no husband present, family

2,Homeowner Vacancy Rate (percent)

2,Balance of Trade

2,import and export statistics

2,Estimated annual sales for Food services & drinking places

3,Radon

1,number of people of American Indian and Alaska Native

1,Percent of population of separated

1,difference in number of people of women that were screened for breast and cervical cancer by jurisdiction

1,difference in population density of black or African American

2,Elementary-secondary revenue from federal sources

2,Gasoline Prices

3,Greenhouse Gas (GHG) Emissions

0,Average poverty level for household

0,renter occupied

1,difference in population density of males 15 years and over

2,GDP Constant Prices

1,difference in number of people of who believe climate change

2,Seasonally adjusted sales

2,Currency

0,firearm death rate

3,Solvent-Contaminated Wipes

0,Average hours per day by men spent on Attending meetings, conferences, and training

1,Percent change of people living in slums

0,Average percent of time engaged in by menPlaying games

3,Turbidity

2,Estimated annual sales for Building material & garden eq. & supplies dealers

1,difference in number of people of people with elementary occupation

2,Estimated annual sales for Auto & other motor veh. Dealers

1,Percent change of people who changed the job in the past one year

1,difference in population density of people with elementary occupation

0,Average percent of time engaged in by menPhysical care for household children

0,Average hours per day by women spent on Travel related to leisure and sports

3,Food Waste and Recovery

2,Tourism Revenues

2,Total Housing Inventory

3,Indoor Air Quality in your Home

3,Cathode Ray Tubes (CRTs)

3,Coal Ash

1,difference in number of people of widowed

1,number of people of death among children under 5 due to pediatric cancer

2,Gold Reserves

0,Production workers average for year of Cement and concrete product manufacturing

0,percent of farms with female principal operator

0,Production workers annual wages of Commercial and service industry machinery manufacturing

2,Estimated annual sales for total (excl. gasoline stations)

0,suicide rate

1,Percent of population of people whose permanent teeth have been removed because of tooth decay or gum disease

2,Fiscal Expenditure

0,Production workers annual wages of Fruit and vegetable preserving and specialty food manufacturing

2,Advance International Trade in Goods

0,Average hours per day by women spent on Food and drink preparation

2,International Trade in Goods

2,Construction Spending

0,Average hours per day by men spent on Medical and care services

3,Formaldehyde

2,Food Inflation

0,Production workers average for year of Coating, engraving, heat treating, and allied activities

2,Core Inflation Rate

3,Lotus corniculatus

0,Average hours per day by men spent on Caring for and helping household members

0,number of multi-racial households

2,Sales Price

1,difference in number of people of people who are confirm to be infected by 2019-Nov Coronavirus

2,Inflation Rate

3,area of open water (km2)

0,Household income

3,Hazardous/Toxic Air Pollutants

1,difference in population density of people enrolled in Nursery school, people enrolled in preschool

2,Estimated annual sales for total (excl. motor vehicle & parts & gasoline stations)

0,Total value of shipments and receipts for services of Iron and steel mills and ferroalloy manufacturing

0,Production workers annual hours of Other food manufacturing

3,annual average precipitation

1,difference in number of people of people enrolled in Kindergarten

1,number of people of Asian

2,Consumer Price Index CPI

2,Estimated annual sales for Nonstore retailers

0,Average percent of time engaged in by menInterior cleaning

0,Total cost of materials of Other miscellaneous manufacturing

0,adult obesity

2,Retail inventories

2,Government Debt to GDP

2,gross domestic product (GDP),GDP

3,Land Cover Series Estimates

3,Household Hazardous Waste

3,Pharmaceutical hazardous wastes

2,Employment Change

2,Initial Jobless Claims

0,Average percent of time engaged in by womenPhysical care for household children

0,well-being index

1,Percent change of males 15 years and over

2,Estimated annual sales for Family clothing stores

0,number of hospitals

1,Percent of population of Hispanic or Latino Origin

0,Total value of shipments and receipts for services of Plastics product manufacturing

3,Special Wastes

0,happiness score

3,area of Palustrine Forested Wetland (km2)

1,number of people of Native Hawaiian and Other Pacific Islander

3,area of Moss (km2)

0,Total cost of materials of Ship and boat building

0,rate of male

1,Percent change of people enrolled in College or graduate school

0,Production workers annual wages of Food manufacturing

3,Asbestos

0,Production workers annual hours of Navigational, measuring, electromedical, and control instruments manufacturing

0,number of academic articles published

0,Average hours per day by men spent on Travel related to organizational, civic, and religious activities

2,Estimated annual sales for Beer, wine & liquor stores

2,Estimated annual sales for total

0,Average percent of time engaged in Caring for and helping household members

0,Total value of shipments and receipts for services of Engine, turbine, and power transmission equipment manufacturing

0,Annual payroll of Lime and gypsum product manufacturing

3,Pesticide Chemicals

1,number of people of people who changed the job in the past one year

2,Estimated annual sales for Mens clothing stores

3,area of Developed, Low Intensity (km2)

0,Production workers annual wages of Paint, coating, and adhesive manufacturing

3,Mercury Effects

2,manufacturing corporations' seasonally adjusted after-tax profits

3,International Electronic Waste (E-Waste)

3,Soil Loss/Root Exposure

3,Mixed Radiological Wastes

2,international trade deficit in goods and services

1,number of people of people who are confirm to be infected by 2019-Nov Coronavirus

2,Labour Costs

3,Ozone Effects

1,difference in number of people of per Walmart store

3,Mold

1,number of people of people who are alumni of OSU

0,Production workers average for year of Converted paper product manufacturing

0,Average percent of time engaged in by womenPlaying with household children, not sports

2,General sales of governments

1,Percent change of retailers of personal computer

1,Percent of population of people with elementary occupation

0,lung cancer mortality rate

2,Corporate Profits

1,Population density of people whose permanent teeth have been removed because of tooth decay or gum disease

0,Average hours per day by women spent on Travel related to caring for and helping nonhousehold membership

0,Average hours per day by men spent on Relaxing and thinking

1,difference in number of people of All Race

0,Average hours per day by women spent on Lawn and garden care

1,Percent of population of Native Hawaiian and Other Pacific Islander

