percentage of women aged 15-49 years who belong to poorest wealth quintile,    demographic
population percent change,    demographic
life expectancy,    social
percent of homes 300000 and over,    demographic
population density,    social
population,    social
percent of population one race: white not hispanic or latino origin,    demographic
life expectancy,    social
poverty rate,    social
share of adults who are obese,    social
population density,    social
median taxable income,    other
percent of population one race: black or african american,    demographic
mcdonald's,    social
population,    social
difference in diversity hispanic or latino origin and all races,    demographic
population,    social
population,    social
mortality rates for heart disease,    social
incidence,    social
arranged marriages with no consent,    social
population estimates,    social
share of adults defined as obese,    social
german population,    social
change in divorce rates,    social
gdp per capita,    social
indices of deprivation,    social
average rainfall,    physical
asian population,    social
population under age 18,    social
 land use,    social
percent under age 18 one race: american indian and alaska native,    demographic
gdp,    social
incidence of total crimes against women,    social
percentage ethnic russians,    social
atheism,    social
population distribution,    social
percent of population one race: native hawaiian and other pacific islander,    social
change in life expectancy at birth,    social
total fertility rate,    social
percent who have already felt negative effects from climate change,    social
population distribution,    social
2000 democratic people's republic of korea,    physical
population density,    social
pure alcohol consumption among adults age 15+ ,    social
population density,    social
percent of white population indicating one race,    demographic
population with difficulty walking,    social
percent of population with internet connection,    demographic
share of high school students attending a school with a sworn law enforcement office,    demographic
average annual rainfall,    physical
population per square mile,    other
prevalence hispanic or latino origin and all races,    social
diversity hispanic or latino origin and all races,    social
estimated median household income,    other
sales,    economic
percent change one or more races including native hawaiian and other pacific islander,    demographic
area units,    economic
total number of frauds,    physical
per capita income,    other
percent of white not hispanic or latino origin population indicating one race,    social
sales,    economic
population density,    social
state game areas,    social
number of people one race: native hawaiian and other pacific islander,    demographic
population density,    social
population density,    social
population density,    social
vegetation,    social
coronavirus,    social
crime against women,    social
estimated effects of water scarcity on gdp,    social
percent change one or more races including black or african american,    demographic
population,    social
percent change one race: white not hispanic or latino origin,    demographic
literacy rate,    social
percent change one race: native hawaiian and other pacific islander,    demographic
median taxable income,    other
population growth,    physical
population change,    demographic
population,    social
coronavirus cases,    social
annual avergage daily traffic density,    social
percent change one race: black or african american,    demographic
life expectancy,    social
measles incidence,    social
social vulnerability,    social
percent of people below poverty level,    social
percent under age 18 one race: white,    social
where's ,    social
number of people two or more races,    demographic
nys gubernatorial democratic primary,    physical
percent of population one race: asian,    demographic
population per square mile,    other
percentage of the population that self-identifies as indigenous,    social
population density,    social
child labor,    social
number of people,    demographic
wildfire count,    social
population density,    social
percent under age 18 one or more races including white,    demographic
percent under age 18 one race: native hawaiian and other pacific islander,    demographic
hcc violations,    social
minority prevalence hispanic or latino origin and all races except white,    social
population density,    social
population,    social
population per sq.,    demographic
difference number of people,    physical
population density,    social
percent under age 18 one or more races including native hawaiian and other pacific islander,    demographic
reported cases per 100 000 people,    social
percent of population hispanic or latino origin,    demographic
confirmed cases of covid-19,    social
poverty,    social
population density,    social
teen chlamydia rates,    social
population density,    social
population percent white ethnic groups,    demographic
000,    social
population,    social
percentage renters,    economic
income estimates,    social
percent change one race: american indian and alaska native,    demographic
non english & french speakers,    social
house prices,    social
population density,    social
population density,    social
males per 100 females,    other
stop and frisk per block,    physical
births,    social
average temperature,    physical
rate of temperature change,    social
number of people one or more races including asian,    demographic
percent change one or more races including asian,    demographic
population density,    social
total probable and confirmed cases,    physical
percent of homes less than 50000,    demographic
life expectancy,    social
population,    social
teen birth rate,    social
total co2 emissions,    social
number of covid-19 cases,    social
trade in goods with china as apercent of state gdp,    social
native american alone/one or more other race,    demographic
percent of population,    demographic
population density,    social
population density,    social
retailers,    social
co2 emissions per capita,    social
population change,    demographic
area of soybeans as a percentage of area in crops,    social
home ownership rate,    social
number of people one race: black or african american,    demographic
tornadoes,    physical
literacy rate,    social
population density,    social
population density,    social
per capita income,    other
forest area as percentage of land area,    social
aids prevalence,    social
millersville university freshmen,    social
schools interested in being academies,    economic
population density,    social
suicide rate,    social
street complaints,    social
per capita co2 emissions,    social
unemployment rates,    social
percent of population one race: white,    demographic
population undernourished,    social
population,    social
smr,    social
percent change one more races including white not hispanic or latino origin,    demographic
number of cities,    physical
black population,    social
