label,theme

1,percent change one race: american indian and alaska native

1,percent of population one race: american indian and alaska native

1,percent under age 18 one race: american indian and alaska native

0,number of people one race: american indian and alaska native

1,percent of american indian and alaska native population indicating one race

1,percent change one or more races including american indian and alaska native

1,percent of population one or more races including american indian and alaska native

1,percent under age 18 one or more races including american indian and alaska native

0,number of people one or more races including american indian and alaska native

1,population density

1,percent change one race

1,percent of population one race: asian

1,percent under age 18 one race

0,number of people one race: asian

1,percent of asian population indicating one race

1,percent change one or more races including asian

1,percent of population one or more races including asian

1,percent under age 18 one or more races including asian

0,number of people one or more races including asian

1,percent change one race: native hawaiian and other pacific islander

0,difference number of people

1,percent of population one race: native hawaiian and other pacific islander

1,percent under age 18 one race: native hawaiian and other pacific islander

0,number of people one race: native hawaiian and other pacific islander

1,percent of native hawaiian and other pacific islander population indicating

1,percent change one or more races including native hawaiian and other pacific islander

1,percent of population one or more races including native hawaiian and other pacific islander

1,percent under age 18 one or more races including native hawaiian and other pacific islander

0,number of people one or more races including native hawaiian and other pacific islander

1,percent of population

1,percent under age

0,number of people

0,number of people two or more races

1,percent change hispanic or latino origin

1,percent of population hispanic or latino origin

1,percent under age 18 hispanic or latino origin

0,number of people hispanic or latino origin

1,percent change one race: white not hispanic or latino origin

1,percent of population one race: white not hispanic or latino origin

1,percent under age 18 one race: white not hispanic or latino origin

0,number of people one race: white not hispanic or latino origin

1,percent of white not hispanic or latino origin population indicating one race

0,population under age 18

1,percent change one more races including white not hispanic or latino origin

1,percent of population one more races including white not hispanic or latino origin

1,percent under age 18 one or more races including white not hispanic or latino origin

0,number of people one or more races including white not hispanic or latino origin

1,percent under age 18

0,prevalence hispanic or latino origin and all races

1,population density

0,population

1,population density

0,commuters by bike

1,median taxable income

1,median taxable income

1,mortality rate

0,house prices

0,coronavirus

0,aids prevalence

1,median gross rent

0,mcdonald's

0,russian as native language

1,percentage ethnic russians

0,population distribution

1,share of occupied rental units

1,rising education levels

0,political precinct index

1,proportion of college graduates

0,population

0,eq-5d index

0,stop and frisk per block

0,estimates of completeness of electoral registers

1,population density

0,eagle nests

1,percent of households

0,annual sum of global horizontal irradiation

0,rice production

1,population density

1,average rainfall

0,work stress

1,population density

1,rate of temperature change

1,population per sq.mile

1,teen birth rate

1,percent hispanic

1,hispanic population percentage

0,population

1,percent of votes

0,pure alcohol consumption among adults age 15+ 

1,percent change in alcohol use disorders

1,percent change in alcohol use disorders

1,total fertility rate

0,life expectancy age

0,peace index

1,population density

1,estimated median household income

0,gdp

0,new cases of t. brucel gambiense

1,population density

0,life expectancy

0,child labor

1,population density

0,atheism

1,literacy rate

1,population density

0,population

0,population

1,population density

1,population density

0,osm road coverage

0,change in life expectancy at birth

0,nys gubernatorial democratic primary

0,gop enrollment

0,wildfire count

0,area units

1,poverty rate

0,tornadoes

0,millersville university freshmen

0,unemployed

0,number of restaurant

1,percentage of the population that self-identifies as indigenous

0,Frequency with which data is collected from country

1,Poverty headcount ratio

1,Median Household Income

1,Median House Value

1,Growth rate

0,NBA Player Origins

0,Number of Species

0,Population

1,Percentage of Population aged 14 years and under

1,Population density

1,Incidence

0,Word happiness score

0,Number of Persons per Wal-Mart Store

0,No. Dentists

1,Profit Ratio

0,Country Population

0,Availability of Safe Drinking Water

1,Population density

0,No Access to Safe Water

1,Income per Capita

0,Venture Capital

1,Unemployment rate
